title_id,reason,has_details_row,quality_flags
razborki,TRULY_MISSING,True,
sato-i-sato,TRULY_MISSING,True,
neznakomcy-v-kioto,TRULY_MISSING,True,
dva-sezona-dva-neznakomca,TRULY_MISSING,True,
assasin-smertelnaya-bitva,TRULY_MISSING,True,
chernyy-shoumen,TRULY_MISSING,True,
zlaya-korova,TRULY_MISSING,True,
velikoe-ograblenie,TRULY_MISSING,True,
legenda-o-cheloveke-i-drakone,TRULY_MISSING,True,
policeyskiy-uchastok-ryadom-s-pozharnoy-chastyu-2,TRULY_MISSING,True,
stiller-i-mira-nichto-ne-poteryano,TRULY_MISSING,True,
dolgiy-put-k-schastlivomu-braku,TRULY_MISSING,True,
dolgiy-put-k-schastlivomu-braku-2,TRULY_MISSING,True,
seredina-puti,TRULY_MISSING,True,
duze,TRULY_MISSING,True,
ozornye-detektivy,TRULY_MISSING,True,
tak-rad-uchitsya-v-shkole-dlya-malchikov,TRULY_MISSING,True,
le-czyun-kay,TRULY_MISSING,True,
tripleksogolik,TRULY_MISSING,True,
begi-na-zapad,TRULY_MISSING,True,
klinki-legend-sudnyy-den,TRULY_MISSING,True,
strannye-skazaniya-goroda-taypin,TRULY_MISSING,True,
zagadochnoe-vozvraschenie,TRULY_MISSING,True,
ya-pod-prikrytiem,TRULY_MISSING,True,
shule,TRULY_MISSING,True,
dorogaya-angliya,TRULY_MISSING,True,
tayna-utrachennoy-zhemchuzhiny-3,TRULY_MISSING,True,
tayna-utrachennoy-zhemchuzhiny-2,TRULY_MISSING,True,
zakat-vesny,TRULY_MISSING,True,
narodnyy-geroy,TRULY_MISSING,True,
sistema,TRULY_MISSING,True,
spyaschiy,TRULY_MISSING,True,
koloniya,TRULY_MISSING,True,
okkultnye-tayny-dinastii-tan,TRULY_MISSING,True,
tayna-dinastii-tan,TRULY_MISSING,True,
rassvet-dvuh-plameney,TRULY_MISSING,True,
pogonya-za-demonom,TRULY_MISSING,True,
korolevskiy-strazh,TRULY_MISSING,True,
avstraliyskie-voyny,TRULY_MISSING,True,
ubiystvo-na-puti-santyago,TRULY_MISSING,True,
bomba-picca,TRULY_MISSING,True,
odinochka-2,TRULY_MISSING,True,
za-granicey,TRULY_MISSING,True,
odna,TRULY_MISSING,True,
temnyy-vyhod,TRULY_MISSING,True,
rezhisserskaya-versiya-2,TRULY_MISSING,True,
astronom,TRULY_MISSING,True,
podruchnyy,TRULY_MISSING,True,
lyubov-povsyudu,TRULY_MISSING,True,
pomeste,TRULY_MISSING,True,
zagorodnyy-korporativ,TRULY_MISSING,True,
brachnyy-sezon,TRULY_MISSING,True,
profi-za-pyatdesyat,TRULY_MISSING,True,
tupik-metka-rakshasy,TRULY_MISSING,True,
pustynnoe-buduschee,TRULY_MISSING,True,
kulak-k-kulaku,TRULY_MISSING,True,
doch-sploshnaya-golovnaya-bol,TRULY_MISSING,True,
my-semya,TRULY_MISSING,True,
gorod-chudes,TRULY_MISSING,True,
strannye-dni,TRULY_MISSING,True,
pyatnadcatye,TRULY_MISSING,True,
hvatit-pryatatsya,TRULY_MISSING,True,
improvizirovannoe-ubiystvo,TRULY_MISSING,True,
v-dengah-ne-nuzhdayus,TRULY_MISSING,True,
ne-budi-liho,TRULY_MISSING,True,
moy-partner-dyavol,TRULY_MISSING,True,
zdravstvuy-gospodin-ci,TRULY_MISSING,True,
tuchchi-v-italii,TRULY_MISSING,True,
krasota-bednosti,TRULY_MISSING,True,
blond,TRULY_MISSING,True,
oschuschenie-lyubvi,TRULY_MISSING,True,
smertelnaya-igra,TRULY_MISSING,True,
ey-rezhisser-podozhdite,TRULY_MISSING,True,
mest-moey-byvshey-zhene-stavshey-zhenoy-moego-brata,TRULY_MISSING,True,
nevesta-killer,TRULY_MISSING,True,
lyubov-dlinoyu-v-vechnost,TRULY_MISSING,True,
petlya,TRULY_MISSING,True,
opasnyy-neznakomec,TRULY_MISSING,True,
volshebnaya-milya,TRULY_MISSING,True,
zoloto,TRULY_MISSING,True,
sezon-lyubvi,TRULY_MISSING,True,
umritroyt,TRULY_MISSING,True,
proklyatie-zabytoy-derevni,TRULY_MISSING,True,
lyublyu-tebya-tozhe,TRULY_MISSING,True,
rozy-na-loze,TRULY_MISSING,True,
spokoynoy-nochi,TRULY_MISSING,True,
zapretnye-zemli,TRULY_MISSING,True,
pohischennye-docheri,TRULY_MISSING,True,
smertelnyy-bal,TRULY_MISSING,True,
spasenie-baddi-charlza,TRULY_MISSING,True,
parkovka,TRULY_MISSING,True,
bez-kontrolya,TRULY_MISSING,True,
my-obyazatelno-esche-uvidimsya,TRULY_MISSING,True,
zhenskie-shtuchki,TRULY_MISSING,True,
bannilovr,TRULY_MISSING,True,
luchshiy-drug-mertvyy-drug,TRULY_MISSING,True,
udivitelnyy-cifrovoy-cirk-posledniy-akt,TRULY_MISSING,True,
dzheyms,TRULY_MISSING,True,
otel-zvezdnaya-pyl,TRULY_MISSING,True,
manipulyaciya,TRULY_MISSING,True,
set,TRULY_MISSING,True,
poka-oni-spali,TRULY_MISSING,True,
syurpriz-3,TRULY_MISSING,True,
geroy,TRULY_MISSING,True,
prednachertano-krovyu,TRULY_MISSING,True,
akademiya,TRULY_MISSING,True,
master-na-vse-ruki,TRULY_MISSING,True,
davno-zaplanirovannyy-brak,TRULY_MISSING,True,
svyazannye-chernoy-lunoy,TRULY_MISSING,True,
taynaya-lyubov-na-72-y-stranice,TRULY_MISSING,True,
mezhdu-nochyu-i-dnem,TRULY_MISSING,True,
shkola-sinczy-bitva-knigami-i-kulakami,TRULY_MISSING,True,
lyubov-vladyki-preispodney,TRULY_MISSING,True,
bagrovyy-priliv,TRULY_MISSING,True,
skazhite-ey-chto-ya-ee-lyublyu,TRULY_MISSING,True,
poznanie,TRULY_MISSING,True,
da,TRULY_MISSING,True,
leyla-hali,TRULY_MISSING,True,
bessmertie-obitel-bessmertnyh-tayyuan,TRULY_MISSING,True,
kayli,TRULY_MISSING,True,
